"","Sites","Chlorophyll_ugL","geometry","Al10SABI","Am092Bsub","Be16FLHviolet","Gi033BDA","MM12NDCI","Be16NDTIblue","Be16NDTIviolet"
"1","USGS-06856600",30.5,c(-97.1275203, 39.3555515),NA,NA,NA,NA,NA,NA,NA
"2","USGS-06857100",4.9,c(-96.8294533, 39.0427758),NA,NA,NA,NA,NA,NA,NA
"3","USGS-390416096544600",13.46666667,c(-96.9128806, 39.0710083),-0.282296650717703,-10,95.3333358764648,-0.00077095058206769,-0.043859649122807,-0.15,0.288808682008718
"4","USGS-390435096540200",13,c(-96.9005333, 39.07651667),-0.18,18,61.4444427490234,0.0498468912262016,0.0463917525773196,-0.0909090909090909,0.0707395445857914
"5","USGS-390448096555500",4,c(-96.9319333, 39.07991944),-0.317073170731707,-13,126.33332824707,-0.00974135847232291,-0.0319410319410319,-0.102564102564103,0.229268274383273
"6","USGS-390527096543400",2.9,c(-96.9094833, 39.09086667),-0.17162471395881,8,91.3333358764648,0.0281888653981677,0.032,-0.211726384364821,0.122102022505346
"7","USGS-390533096552700",10.05,c(-96.924275, 39.09254444),-0.1625,9,101,0.0277915632754343,0.0236220472440945,-0.120567375886525,0.15527950310559
"8","USGS-390603096570600",5.55,c(-96.9516556, 39.100925),-0.129337539432177,18,120.333343505859,0.0326149980672593,0.0221130221130221,-0.0268948655256724,0.140946027147114
"9","USGS-390610096555500",11.85,c(-96.9319, 39.1027833),-0.124223602484472,9,96,0.0434782608695653,0.0315789473684211,-0.2,0.108433734939759
"10","USGS-390655096535300",5.3,c(-96.8980667, 39.1152833),0.049025069637883,235,172.666687011719,0.186229981311949,0.120946989191971,0.0270595309681299,0.146052352929878
"11","USGS-390656096550900",3.45,c(-96.9191306, 39.11541944),-0.182027649769585,12,80.2222213745117,0.0427445255474453,0.0458015267175573,-0.177631578947368,0.117179737575271
"12","USGS-390734096543800",10.2,c(-96.9105833, 39.1261833),-0.159550561797753,28,76.6666641235352,0.0989100934821005,0.0915032679738562,-0.136645962732919,0.13315216216676
"13","USGS-390804096555000",12.76666667,c(-96.9306556, 39.13456667),-0.258101851851852,17,94.6666717529297,0.0206789067548561,0.0261941448382126,-0.0481927710843374,0.110070267528295
"14","USGS-390830096545800",3.2,c(-96.9161778, 39.14164167),-0.116951379763469,19,113.888885498047,0.0454431017119839,0.0295489891135303,-0.037037037037037,0.16829622724078
"15","USGS-390910096543300",8.733333333,c(-96.9091278, 39.1528861),-0.280405405405405,4,132.333335876465,0.00391702100244814,0.0101522842639594,-0.0758293838862559,0.346375155664013
"16","USGS-390910096551800",26.7,c(-96.9216167, 39.1526833),-0.133333333333333,16,121,0.0294898564173949,0.0203045685279188,-0.0252525252525253,0.150521609538003
"17","USGS-391005096545800",22.7,c(-96.91615, 39.1681),-0.207836456558773,36,122,0.0851672928967614,0.08,-0.0717488789237668,0.277777777777778
"18","USGS-391009096553700",3.7,c(-96.926925, 39.1692722),-0.191812865497076,14,116,0.0255371336313959,0.0194986072423398,-0.0356164383561644,0.146579804560261
"19","USGS-391106096565700",13,c(-96.9491778, 39.18487778),-0.401550387596899,67,110,0.0674058693837361,0.108943089430894,0.0378787878787879,0.311004784688995
"20","USGS-391108096554600",5.8,c(-96.9295472, 39.18559167),-0.300314465408805,44,112.33332824707,0.0645539906103286,0.083969465648855,-0.04,0.238177111871811
"21","USGS-391109096585800",17.85,c(-96.9828333, 39.18596667),-0.293791574279379,179,126,0.174295462958492,0.17670286278381,0.0678617157490397,0.273282442748092
"22","USGS-391116096550500",13.36666667,c(-96.9181444, 39.18774444),-0.3345521023766,32,98.5555572509766,0.0128824476650564,0.08,-0.0490956072351421,0.275808944324846
"23","USGS-391128096564200",11.15,c(-96.9448833, 39.1911333),-0.267581475128645,61,79.6666717529297,0.11840828210935,0.121756487025948,-0.0222222222222222,0.188118828199149
"24","USGS-391147096595300",5.6,c(-96.9979333, 39.1963),-0.326330532212885,142,112,0.144024819521508,0.190348525469169,0.0486111111111111,0.301724137931034
"25","USGS-391149096582300",19.74,c(-96.9730361, 39.1968111),-0.214899713467049,97,102.66667175293,0.173511080984391,0.147192716236722,0.0017825311942959,0.226181831789127
"26","USGS-391207096565500",15,c(-96.9485333, 39.2019333),-0.290050590219224,49,98.2222290039062,0.064176245210728,0.107692307692308,-0.103752759381898,0.144378349466743
"27","USGS-391225096574100",24.3,c(-96.9614667, 39.20686667),-0.288270377733598,155,75.2222290039062,0.236799642955232,0.305719921104536,-0.0880829015544041,0.132642141269571
"28","USGS-391240096593800",19.75,c(-96.9939667, 39.21115),-0.152380952380952,141,85.2222290039062,0.295894447793182,0.229268292682927,-0.0306748466257669,0.173913063194818
"29","USGS-391259097001800",30.96,c(-97.0049917, 39.21636389),-0.0870466321243523,192,445.555541992188,0.135852786609776,0.0867992766726944,0.0676532769556025,0.396527871372362
"30","USGS-391306096590000",4.9,c(-96.9834333, 39.2183),-0.12241054613936,143,-80.5555419921875,0.260176967983455,0.250437828371278,-0.00465116279069767,-0.16169747500939
"31","USGS-391332097001100",8.3,c(-97.00305, 39.22545),-0.178145087235996,245,115.444458007812,0.263703554707227,0.17638588912887,0.115009746588694,0.25637585764078
"32","USGS-391340097003400",31.53333333,c(-97.0094444, 39.2279),-0.266743648960739,220,116.888885498047,0.259621750868779,0.199637023593466,0.126436781609195,0.324103412775908
